165,Nano Energy,"74,385",17.881,0.12464,30221128,31475091,32373446,32904365,32905454,32953424,32959010,32983849,33042770,34109105
166,Energy Storage Materials,"17,077",17.789,0.02813,,,,,,,,,,
167,Light-Science & Applications,"11,228",17.782,0.02578,11614457,15795975,26847267,29727266,30167118,30327072,30648348,32257179,33785731,34376635
168,Nature Microbiology,"15,714",17.745,0.05625,32094589,32123347,32367054,32367055,32433531,32587377,32669681,32724171,32908214,33273742
169,PSYCHOLOGICAL BULLETIN,"66,720",17.737,0.02345,24417575,25894546,27416139,27841450,28368148,28447828,28530428,28616996,28616997,31804098
169,PSYCHOLOGICAL BULLETIN,"66,720",17.737,0.02345,24417575,25894546,27416139,27841450,28368148,28447828,28530428,28616996,28616997,31804098
171,Science Immunology,"5,232",17.727,0.0222,29980618,29980619,30635356,30824527,31953257,32591408,32651211,32651212,32826343,33033173
172,TRENDS IN ECOLOGY & EVOLUTION,"44,127",17.712,0.02818,15886463,19060194,23637740,25926134,26453985,27127819,28384186,29517004,29655918,29802026
173,PSYCHOTHERAPY AND PSYCHOSOMATICS,"6,123",17.659,0.00675,17329601,22748749,26791511,28279495,29751937,30691935,32284248,32460988,32800571,6761734
173,PSYCHOTHERAPY AND PSYCHOSOMATICS,"6,123",17.659,0.00675,17329601,22748749,26791511,28279495,29751937,30691935,32284248,32460988,32800571,6761734
175,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"31,127",17.586,0.07808,,,,,,,,,,
176,INTENSIVE CARE MEDICINE,"33,510",17.44,0.04019,30409678,30528952,30591356,30683520,31109739,32057472,32312600,32360034,32402532,32402534
177,HEPATOLOGY,"78,043",17.425,0.08344,32841401,32986864,33111374,33159409,33219529,33236445,33237575,33369758,33421158,33464576
178,Living Reviews in Solar Physics,"1,640",17.417,0.00267,27194958,27194961,27194963,27194964,27194965,27471439,31178676,31929769,31997984,32355890
179,Journal of Hematology & Oncology,"10,615",17.388,0.01836,33054110,33054115,33054121,33121236,33147934,33327712,33353284,33406814,33410314,33472354
180,CIRCULATION RESEARCH,"65,425",17.367,0.0689,32252591,32271675,32324494,32349646,32437299,32437302,32437308,32586214,32762536,33176578
181,National Science Review,"5,889",17.275,0.0114,26413369,31258951,31355046,31598382,31867129,31867130,32288962,32983580,34192085,34192086
182,REPORTS ON PROGRESS IN PHYSICS,"20,866",17.264,0.02606,24006369,24444693,26510115,27608530,29952321,30947151,31185464,31574497,33125347,33857928
183,NEURON,"111,115",17.173,0.17522,32553197,32610039,32640192,32810432,32871106,32898475,32931756,33271068,33385325,33412093
184,BASIC RESEARCH IN CARDIOLOGY,"5,629",17.165,0.00529,13139522,13571986,13819470,14116194,4888714,4948867,5495713,5522462,5524158,5670338
185,ACTA NEUROPATHOLOGICA,"28,031",17.088,0.03697,29411111,30259105,30465257,30483945,30488277,31197504,31996992,32728795,32840654,33098484
186,TRENDS IN MICROBIOLOGY,"17,553",17.079,0.02282,28844447,29033338,29173869,29754971,29909041,29954653,30297117,31160162,31262533,31474424
187,NUCLEIC ACIDS RESEARCH,"248,139",16.971,0.38707,12836342,12836354,12903113,12903184,12903186,14510377,14510430,14510438,14510439,14510489
